sl_no,state,start_date,physical_progress,report_month
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
Total,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
33,,,,
34,,,,
35,,,,
1,Gujarat,"07/2020
03/2021",,
2,Haryana,"03/2017
10/2018",,
3,Karnataka,"11/2016
01/2018",,
4,Madhya Pradesh,"10/2018
12/2017",,
5,Tamil Nadu,"02/2015
03/2023",,
6,Gujarat,"07/2023
07/2023",,
7,Rajasthan,"12/2021
08/2023",,
8,Maharashtra,"06/2016
06/2016",,
9,Maharashtra,"12/2015
03/2016",,
1,Andhra Pradesh,"08/2024
10/2025",,
2,Andhra Pradesh,"08/2024
10/2025",,
3,Kerala,"08/2024
10/2025",,
4,Telangana,"08/2024
02/2026",,
5,Uttar Pradesh,"08/2024
04/2026",,
6,Odisha,"02/2024
05/2024",,
7,Jharkhand,"10/2023
12/2023",,
8,Rajasthan,"10/2024
09/2025",,
9,Karnataka,06/2026,,
10,Uttar Pradesh,05/2019,,
11,Maharashtra,"05/2023
05/2023",,
12,Assam,"10/2025
10/2025",,
13,Offshore,"08/2025
08/2025",,
14,Uttar Pradesh,"09/2025
09/2025",,
15,Arunachal Pradesh,"04/2026
04/2026",,
16,Arunachal Pradesh,"09/2025
09/2025",,
17,Odisha,"11/2025
11/2025",,
18,Delhi,"11/2023
10/2024",,
19,Karnataka,"02/2026
02/2026",,
20,Maharashtra,"03/2026
03/2026",,
21,Bihar,"11/2024
11/2025",,
22,Goa,04/2026,,
23,Gujarat,"09/2025
09/2025",,
24,Gujarat,"07/2023
07/2023",,
25,Jharkhand,"03/2019
03/2019",,
26,Karnataka,"06/2019
09/2022",,
27,Karnataka,"01/1999
01/2000",,
28,Karnataka,"02/1999
07/2026",,
29,Maharashtra,"08/2022
01/2026",,
30,Maharashtra,"02/2008
04/2013",,
31,Meghalaya,"04/2011
03/2010",,
32,"Multi-States (Assam,
Meghalaya)","08/2010
03/2007",,
33,Odisha,"09/2022
12/2023",,
34,Odisha,"08/2024
04/2026",,
35,Punjab,10/2022,,
36,Rajasthan,"11/2021
01/2022",,
37,Tamil Nadu,"04/2011
09/2016",,
38,Andhra Pradesh,"12/2022
03/2026",,
39,Andhra Pradesh,"12/2022
03/2026",,
40,Arunachal Pradesh,"12/2023
02/2026",,
41,Bihar,05/2011,,
42,Bihar,"01/2025
04/2026",,
43,Bihar,"03/2023
10/2024",,
44,Bihar,08/2010,,
45,Himachal Pradesh,"06/2023
03/2026",,
46,Karnataka,"03/2023
01/2026",,
47,Madhya Pradesh,"02/2024
03/2026",,
48,Madhya Pradesh,"10/2024
03/2026",,
49,Maharashtra,"11/2024
04/2026",,
50,Odisha,"12/2024
02/2026",,
51,Punjab,"05/2021
12/2022",,
52,Telangana,"10/2024
10/2025",,
53,Telangana,"11/2022
05/2026",,
54,Uttar Pradesh,"03/2023
02/2026",,
55,Uttar Pradesh,"06/2024
03/2026",,
22,Arunachal Pradesh,"08/2025
08/2025",1.5,
